Mag_X,Mag_Y,Mag_Z
-380.0,6362.0,335.0
-355.0,6302.0,330.0
-407.0,6362.0,312.0
-345.0,6362.0,350.0
-370.0,6332.0,330.0
-407.0,6392.0,330.0
-385.0,6422.0,272.0
-287.0,6560.0,297.0
-287.0,6560.0,297.0
-265.0,6485.0,355.0
-385.0,6570.0,340.0
-370.0,6530.0,287.0
-375.0,6520.0,267.0
-375.0,6520.0,267.0
-407.0,6347.0,375.0
-355.0,6357.0,375.0
-370.0,6442.0,365.0
-417.0,6342.0,330.0
-365.0,6392.0,325.0
-385.0,6372.0,355.0
-397.0,6347.0,335.0
-397.0,6387.0,330.0
-385.0,6327.0,330.0
-392.0,6367.0,330.0
-412.0,6347.0,365.0
-392.0,6282.0,340.0
-365.0,6367.0,312.0
-380.0,6392.0,340.0
-385.0,6322.0,325.0
-402.0,6332.0,292.0
-365.0,6362.0,325.0
-380.0,6387.0,345.0
-385.0,6392.0,282.0
-397.0,6327.0,307.0
-370.0,6407.0,340.0
-360.0,6402.0,307.0
-392.0,6327.0,350.0
-392.0,6327.0,350.0
-340.0,6327.0,487.0
-375.0,6302.0,497.0
-397.0,6387.0,335.0
-345.0,6332.0,312.0
-355.0,6362.0,355.0
-355.0,6362.0,355.0
-407.0,6352.0,370.0
-355.0,6367.0,395.0
-375.0,6332.0,312.0
-365.0,6357.0,370.0
-380.0,6387.0,345.0
-397.0,6352.0,330.0
-385.0,6337.0,330.0
-385.0,6357.0,272.0
-392.0,6317.0,312.0
-392.0,6317.0,312.0
-340.0,6342.0,330.0
-380.0,6307.0,385.0
-375.0,6382.0,317.0
-350.0,6372.0,312.0
-335.0,6302.0,330.0
-380.0,6407.0,312.0
-422.0,6312.0,400.0
-422.0,6337.0,365.0
-412.0,6372.0,335.0
-412.0,6372.0,335.0
-407.0,6357.0,385.0
-412.0,6327.0,335.0
-392.0,6337.0,335.0
-370.0,6367.0,335.0
-397.0,6387.0,385.0
-360.0,6362.0,350.0
-402.0,6382.0,325.0
-412.0,6287.0,340.0
-380.0,6287.0,360.0
-392.0,6377.0,325.0
-355.0,6332.0,335.0
-350.0,6422.0,355.0
-385.0,6297.0,345.0
-350.0,6337.0,335.0
-380.0,6397.0,297.0
-312.0,6392.0,350.0
-375.0,6387.0,410.0
-402.0,6387.0,330.0
-327.0,6327.0,302.0
-350.0,6402.0,330.0
-312.0,6352.0,350.0
-375.0,6387.0,297.0
-375.0,6387.0,297.0
-375.0,6277.0,350.0
-375.0,6437.0,267.0
-397.0,6347.0,325.0
-375.0,6372.0,302.0
-370.0,6437.0,262.0
-380.0,6327.0,330.0
-375.0,6317.0,385.0
-375.0,6377.0,325.0
-360.0,6292.0,370.0
-375.0,6377.0,365.0
-392.0,6342.0,340.0
-412.0,6322.0,385.0
-355.0,6362.0,330.0
-380.0,6317.0,365.0
-380.0,6317.0,365.0
-245.0,6560.0,330.0
-245.0,6560.0,330.0
-282.0,6590.0,292.0
-282.0,6590.0,292.0
-345.0,6332.0,335.0
-350.0,6357.0,340.0
-365.0,6322.0,302.0
-375.0,6307.0,340.0
-422.0,6402.0,360.0
-407.0,6392.0,340.0
-397.0,6387.0,307.0
-397.0,6372.0,307.0
-392.0,6347.0,317.0
-360.0,6337.0,355.0
-265.0,6620.0,345.0
-355.0,6367.0,385.0
-360.0,6427.0,380.0
-360.0,6427.0,380.0
-380.0,6377.0,330.0
-350.0,6392.0,335.0
-412.0,6337.0,335.0
-340.0,6402.0,360.0
-350.0,6422.0,307.0
-360.0,6357.0,350.0
-402.0,6382.0,312.0
-397.0,6352.0,330.0
-380.0,6292.0,340.0
-380.0,6292.0,340.0
-255.0,6337.0,297.0
-370.0,6367.0,297.0
-370.0,6382.0,287.0
-397.0,6302.0,292.0
-370.0,6327.0,335.0
-412.0,6392.0,340.0
-397.0,6332.0,302.0
-392.0,6397.0,345.0
-370.0,6347.0,355.0
-375.0,6397.0,340.0
-360.0,6377.0,317.0
-392.0,6322.0,370.0
-380.0,6367.0,312.0
-370.0,6322.0,330.0
-422.0,6337.0,330.0
-397.0,6342.0,317.0
-380.0,6347.0,350.0
-345.0,6397.0,330.0
-365.0,6397.0,360.0
-355.0,6317.0,360.0
-350.0,6362.0,317.0
-370.0,6342.0,287.0
-340.0,6397.0,282.0
-350.0,6372.0,312.0
-392.0,6327.0,355.0
-392.0,6327.0,355.0
-375.0,6367.0,340.0
-375.0,6367.0,340.0
-345.0,6427.0,312.0
-370.0,6407.0,267.0
-375.0,6402.0,302.0
-380.0,6417.0,302.0
-380.0,6417.0,302.0
-345.0,6357.0,350.0
-370.0,6392.0,162.0
-355.0,6307.0,360.0
-360.0,6397.0,325.0
-442.0,6367.0,335.0
-432.0,6312.0,355.0
-402.0,6382.0,317.0
-422.0,6382.0,350.0
-322.0,6337.0,370.0
-322.0,6337.0,370.0
-407.0,6342.0,312.0
-407.0,6387.0,282.0
-407.0,6387.0,282.0
-397.0,6362.0,340.0
-360.0,6407.0,360.0
-385.0,6347.0,325.0
-370.0,6377.0,350.0
-385.0,6412.0,340.0
-417.0,6322.0,365.0
-365.0,6402.0,350.0
-385.0,6362.0,355.0
-380.0,6362.0,380.0
-412.0,6372.0,335.0
-360.0,6352.0,335.0
-380.0,6327.0,365.0
-422.0,6362.0,307.0
-397.0,6367.0,340.0
-392.0,6437.0,325.0
-392.0,6437.0,325.0
-412.0,6267.0,302.0
-402.0,6392.0,312.0
-427.0,6377.0,355.0
-392.0,6307.0,330.0
-417.0,6407.0,345.0
-380.0,6372.0,312.0
-350.0,6737.0,292.0
-432.0,6372.0,257.0
-442.0,6322.0,277.0
-437.0,6387.0,317.0
-370.0,6322.0,355.0
-437.0,6277.0,307.0
-375.0,6347.0,312.0
-402.0,6342.0,330.0
-412.0,6362.0,340.0
-380.0,6407.0,350.0
-407.0,6352.0,330.0
-402.0,6397.0,335.0
-365.0,6367.0,345.0
-345.0,6342.0,375.0
-307.0,6697.0,330.0
-407.0,6332.0,355.0
-422.0,6362.0,340.0
-422.0,6362.0,340.0
-360.0,6332.0,312.0
-385.0,6307.0,360.0
-380.0,6372.0,325.0
-392.0,6327.0,317.0
-402.0,6377.0,335.0
-375.0,6412.0,325.0
-375.0,6322.0,345.0
-397.0,6382.0,360.0
-397.0,6297.0,355.0
-397.0,6297.0,355.0
-260.0,6412.0,360.0
