Mag_X,Mag_Y,Mag_Z
1480.0,7455.0,1467.0
1532.0,7425.0,1497.0
1565.0,7435.0,1537.0
1647.0,7490.0,1430.0
1705.0,7415.0,1370.0
1762.0,7495.0,1415.0
1772.0,7495.0,1395.0
1810.0,7460.0,1360.0
1842.0,7495.0,1330.0
1872.0,7515.0,1320.0
1930.0,7515.0,1335.0
1972.0,7562.0,1345.0
1997.0,7500.0,1335.0
2010.0,7562.0,1340.0
2050.0,7577.0,1282.0
2050.0,7577.0,1282.0
2072.0,7515.0,1262.0
2112.0,7602.0,1355.0
2107.0,7530.0,1272.0
2150.0,7582.0,1247.0
2135.0,7525.0,1197.0
2135.0,7557.0,1222.0
2192.0,7592.0,1172.0
2227.0,7577.0,1157.0
2227.0,7567.0,1182.0
2245.0,7617.0,1182.0
2260.0,7622.0,1137.0
2307.0,7707.0,1125.0
2280.0,7677.0,1095.0
2280.0,7677.0,1095.0
2327.0,7702.0,967.0
2297.0,7657.0,1030.0
2322.0,7707.0,990.0
2337.0,7717.0,985.0
2312.0,7687.0,985.0
2312.0,7687.0,985.0
2312.0,7770.0,927.0
2317.0,7692.0,917.0
2302.0,7780.0,917.0
2280.0,7697.0,842.0
2280.0,7697.0,842.0
2250.0,7770.0,917.0
2255.0,7712.0,897.0
2197.0,7737.0,967.0
2270.0,7795.0,827.0
2275.0,7752.0,857.0
2280.0,7850.0,857.0
2212.0,7815.0,877.0
2212.0,7742.0,795.0
2207.0,7820.0,852.0
2217.0,7752.0,837.0
2177.0,7732.0,800.0
2187.0,7825.0,770.0
2170.0,7795.0,740.0
2140.0,7840.0,780.0
2160.0,7840.0,720.0
2197.0,7800.0,735.0
2197.0,7800.0,735.0
2182.0,7860.0,607.0
2177.0,7880.0,622.0
2112.0,7895.0,552.0
2187.0,7915.0,542.0
2155.0,7920.0,537.0
2135.0,7987.0,512.0
2155.0,7905.0,492.0
2072.0,7980.0,465.0
2082.0,8002.0,465.0
2082.0,8002.0,465.0
2035.0,7997.0,450.0
2045.0,7997.0,385.0
1997.0,8017.0,395.0
2020.0,8017.0,355.0
2002.0,7960.0,317.0
1972.0,7965.0,312.0
1935.0,8042.0,317.0
1915.0,8002.0,282.0
1892.0,8092.0,247.0
1892.0,8092.0,247.0
1910.0,8057.0,312.0
1925.0,8072.0,267.0
1900.0,8122.0,252.0
1900.0,8007.0,242.0
1905.0,8082.0,197.0
1872.0,8037.0,162.0
1847.0,8107.0,207.0
1847.0,8107.0,207.0
1810.0,8092.0,135.0
1810.0,8092.0,135.0
1790.0,8077.0,70.0
1790.0,8077.0,70.0
1790.0,8142.0,-10.0
1790.0,8122.0,30.0
1777.0,8107.0,-20.0
1725.0,8205.0,-45.0
1715.0,8215.0,-90.0
1662.0,8112.0,-85.0
