Timestamp (ns),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1724512016995364702,-192.0,-85.0,2696.0,-3.0,-9.0,1.0
1724512017000369585,-189.0,-88.0,2696.0,9.0,-11.0,-3.0
1724512017005374468,-185.0,-91.0,2705.0,0.0,-6.0,-6.0
1724512017010379351,-198.0,-92.0,2701.0,-5.0,-10.0,-2.0
1724512017015353716,-194.0,-90.0,2707.0,7.0,-9.0,-1.0
1724512017020358599,-187.0,-86.0,2693.0,-3.0,-11.0,3.0
1724512017025363482,-189.0,-88.0,2710.0,5.0,-3.0,-4.0
1724512017030368364,-193.0,-87.0,2710.0,1.0,-13.0,0.0
1724512017035373247,-201.0,-85.0,2708.0,2.0,-12.0,0.0
1724512017040378130,-194.0,-91.0,2699.0,5.0,-7.0,-4.0
1724512017045352495,-187.0,-96.0,2702.0,8.0,-17.0,-6.0
1724512017050357378,-193.0,-93.0,2712.0,-5.0,-9.0,3.0
1724512017055362261,-180.0,-87.0,2702.0,-1.0,-5.0,0.0
1724512017060367144,-182.0,-89.0,2699.0,-2.0,-9.0,-1.0
1724512017065372026,-185.0,-86.0,2699.0,1.0,-15.0,-7.0
1724512017070376909,-189.0,-90.0,2706.0,4.0,-10.0,3.0
1724512017075381792,-195.0,-88.0,2713.0,-4.0,-6.0,-2.0
1724512017080356157,-197.0,-85.0,2714.0,5.0,-2.0,-7.0
1724512017085361040,-194.0,-82.0,2704.0,2.0,-5.0,1.0
1724512017090365923,-196.0,-90.0,2707.0,1.0,-6.0,2.0
1724512017095370806,-191.0,-90.0,2703.0,4.0,-15.0,-3.0
1724512017100375689,-193.0,-87.0,2707.0,9.0,-13.0,-4.0
1724512017105380571,-199.0,-90.0,2716.0,8.0,-8.0,-2.0
1724512017110354937,-187.0,-88.0,2690.0,1.0,-7.0,-1.0
1724512017115359819,-188.0,-94.0,2703.0,5.0,-7.0,-6.0
1724512017120364702,-193.0,-80.0,2705.0,2.0,-7.0,2.0
1724512017125369585,-192.0,-82.0,2704.0,1.0,-8.0,-6.0
