Mag_X,Mag_Y,Mag_Z
-25.8247418219258,-13.2365064721251,-36.6514107812524
-25.8247418219258,-13.2365064721251,-36.6514107812524
-27.0703404853985,-13.437421306405,-37.9830043753635
-27.0703404853985,-13.437421306405,-37.9830043753635
-26.3582971494201,-13.4291373902964,-37.223606307145
-26.3582971494201,-13.4291373902964,-37.223606307145
-26.8468938694933,-12.8608047836349,-36.6945641842778
-26.8468938694933,-12.8608047836349,-36.6945641842778
-26.8771836573658,-13.2438378152428,-37.4269619210535
-26.8771836573658,-13.2438378152428,-37.4269619210535
-26.1680090838618,-12.117030721776,-36.651709712643
-26.1680090838618,-12.117030721776,-36.651709712643
-25.6315867976551,-13.0429190592712,-36.0953683565308
-25.6315867976551,-13.0429190592712,-36.0953683565308
-24.8475465980981,-14.3731677737967,-37.709494886422
-24.8475465980981,-14.3731677737967,-37.709494886422
-26.8156486455472,-12.8506154945716,-35.9674565057631
-26.8156486455472,-12.8506154945716,-35.9674565057631
-26.0041877408178,-12.6793159444504,-36.8333391889319
-26.0041877408178,-12.6793159444504,-36.8333391889319
-25.8744774773633,-12.1332675108228,-37.7262378719284
-25.8744774773633,-12.1332675108228,-37.7262378719284
-26.3592529157597,-13.0562976753997,-37.2183242236412
-26.3592529157597,-13.0562976753997,-37.2183242236412
-26.8331829603525,-12.110030764798,-36.3204501376473
-26.8331829603525,-12.110030764798,-36.3204501376473
-25.6803663364065,-12.3125236185609,-37.1754696669298
-25.6803663364065,-12.3125236185609,-37.1754696669298
-25.6803663364065,-12.3125236185609,-37.1754696669298
-25.6647435542803,-12.3074289185411,-36.811911868038
-25.6647435542803,-12.3074289185411,-36.811911868038
-27.203872370836,-12.4921070797706,-37.068985137056
-27.203872370836,-12.4921070797706,-37.068985137056
-26.3933654487647,-11.9479639031012,-37.9295855961564
-26.3933654487647,-11.9479639031012,-37.9295855961564
-26.0188547566044,-13.0572503593669,-37.2021790713276
-26.0188547566044,-13.0572503593669,-37.2021790713276
-27.5433147636517,-12.8639941107001,-37.0904123728734
-27.5433147636517,-12.8639941107001,-37.0904123728734
-26.477162019071,-12.1058887487454,-35.9407471864419
-26.477162019071,-12.1058887487454,-35.9407471864419
-26.8615608752396,-13.238743115223,-37.0634041221616
-26.8615608752396,-13.238743115223,-37.0634041221616
-25.8550316198386,-13.6195355870615,-37.3838084625399
-25.8550316198386,-13.6195355870615,-37.3838084625399
-27.523868906127,-14.3502621869387,-36.747982963485
-27.523868906127,-14.3502621869387,-36.747982963485
-27.0244282456658,-13.0492976024252,-36.8870568144531
-27.0244282456658,-13.0492976024252,-36.8870568144531
-27.3676937138801,-11.9298218570962,-36.8873556607671
-27.3676937138801,-11.9298218570962,-36.8873556607671
-26.8284041186144,-13.9742332559532,-36.3468606106545
-26.8284041186144,-13.9742332559532,-36.3468606106545
-26.6830725264492,-13.4230900063093,-36.8761936605667
-26.6830725264492,-13.4230900063093,-36.8761936605667
-25.6481653461209,-12.6751740443943,-36.4536440719189
-25.6481653461209,-12.6751740443943,-36.4536440719189
-26.6811609837298,-14.1687733527743,-36.8867578830625
-26.6811609837298,-14.1687733527743,-36.8867578830625
-25.8247418219258,-13.2365064721251,-36.6514107812524
-25.8247418219258,-13.2365064721251,-36.6514107812524
-26.9250074398179,-12.8862781727576,-38.5123452594681
-26.9250074398179,-12.8862781727576,-38.5123452594681
-24.8191683328644,-13.2444592290669,-36.9665330381269
-24.8191683328644,-13.2444592290669,-36.9665330381269
-25.6950333521931,-12.6904580334774,-37.5443095493255
-25.6950333521931,-12.6904580334774,-37.5443095493255
-26.2276325630012,-13.2559324722406,-38.121779294941
-25.8119866891649,-12.1128888217199,-36.27201459563
-25.8119866891649,-12.1128888217199,-36.27201459563
-25.693121819514,-13.4361374632709,-37.5548737163331
-25.693121819514,-13.4361374632709,-37.5548737163331
-26.7328078315401,-12.3198548507023,-37.9510128874619
-26.7328078315401,-12.3198548507023,-37.9510128874619
-27.0547180435786,-13.4323267173615,-37.6194544957406
-27.0547180435786,-13.4323267173615,-37.6194544957406
-26.3260961490942,-13.7917917328014,-36.5017807676222
-26.3260961490942,-13.7917917328014,-36.5017807676222
-26.183631865988,-12.1221254217958,-37.0152675115349
-26.183631865988,-12.1221254217958,-37.0152675115349
-25.8578989288976,-12.5010125256997,-37.3679621565404
-25.8578989288976,-12.5010125256997,-37.3679621565404
-27.233206392369,-13.2479798262752,-37.8066649573355
-27.233206392369,-13.2479798262752,-37.8066649573355
-27.5092022306467,-13.9723278829985,-36.3791510003583
-27.5092022306467,-13.9723278829985,-36.3791510003583
